RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Exited,AgeGroup,BalanceGroup,SalaryGroup
63,15702014,Jeffrey,555,Spain,Male,1,2,0,0,0,31-40,50K-100K,150K-200K
64,15751208,Pirozzi,684,Spain,Male,8,1,1,1,0,51-60,50K-100K,50K-100K
65,15592461,Jackson,603,Germany,Male,4,1,1,1,0,18-30,100K-150K,50K-100K
66,15789484,Hammond,751,Germany,Female,6,2,1,1,0,31-40,150K-200K,0-50K
67,15696061,Brownless,581,Germany,Female,1,1,1,0,0,31-40,100K-150K,100K-150K
68,15641582,Chibugo,735,Germany,Male,10,2,1,1,0,41-50,100K-150K,150K-200K
69,15638424,Glauert,661,Germany,Female,5,2,0,1,0,31-40,150K-200K,100K-150K
70,15755648,Pisano,675,France,Female,8,1,1,0,0,18-30,50K-100K,0-50K
71,15703793,Konovalova,738,Germany,Male,2,4,1,0,1,51-60,100K-150K,0-50K
72,15620344,McKee,813,France,Male,6,1,1,0,0,18-30,0-50K,0-50K
73,15812518,Palermo,657,Spain,Female,0,1,0,1,0,31-40,150K-200K,0-50K
74,15779052,Ballard,604,Germany,Female,5,2,1,1,0,18-30,150K-200K,50K-100K
75,15770811,Wallace,519,France,Male,9,2,0,1,0,31-40,0-50K,100K-150K
76,15780961,Cavenagh,735,France,Female,1,2,1,0,0,18-30,150K-200K,0-50K
77,15614049,Hu,664,France,Male,8,2,1,1,0,51-60,0-50K,100K-150K
78,15662085,Read,678,France,Female,9,1,1,1,0,31-40,0-50K,100K-150K
79,15575185,Bushell,757,Spain,Male,5,1,0,1,0,31-40,50K-100K,150K-200K
80,15803136,Postle,416,Germany,Female,10,2,1,0,0,41-50,100K-150K,50K-100K
81,15706021,Buley,665,France,Female,1,2,0,0,0,31-40,50K-100K,150K-200K
82,15663706,Leonard,777,France,Female,2,1,1,0,1,31-40,0-50K,100K-150K
83,15641732,Mills,543,France,Female,3,2,0,0,0,31-40,0-50K,0-50K
84,15701164,Onyeorulu,506,France,Female,4,1,1,1,0,31-40,50K-100K,150K-200K
85,15738751,Beit,493,France,Female,4,2,1,0,0,41-50,0-50K,0-50K
86,15805254,Ndukaku,652,Spain,Female,10,2,1,1,0,60+,0-50K,100K-150K
87,15762418,Gant,750,Spain,Male,3,1,1,0,1,18-30,100K-150K,100K-150K
88,15625759,Rowley,729,France,Male,9,2,1,0,0,18-30,0-50K,150K-200K
89,15622897,Sharpe,646,France,Female,4,3,1,0,1,41-50,0-50K,50K-100K
90,15767954,Osborne,635,Germany,Female,3,2,1,1,0,18-30,50K-100K,150K-200K
91,15757535,Heap,647,Spain,Female,5,3,1,1,1,41-50,0-50K,150K-200K
92,15731511,Ritchie,808,France,Male,7,2,1,0,0,41-50,100K-150K,100K-150K
93,15809248,Cole,524,France,Female,10,2,1,0,0,31-40,0-50K,100K-150K
94,15640635,Capon,769,France,Male,8,2,1,1,0,18-30,0-50K,150K-200K
95,15676966,Capon,730,Spain,Male,4,2,0,1,0,41-50,0-50K,50K-100K
96,15699461,Fiorentini,515,Spain,Male,10,1,0,1,0,31-40,150K-200K,100K-150K
97,15738721,Graham,773,Spain,Male,9,1,0,1,0,41-50,100K-150K,50K-100K
98,15693683,Yuille,814,Germany,Male,8,2,1,1,0,18-30,50K-100K,150K-200K
99,15604348,Allard,710,Spain,Male,8,2,0,0,0,18-30,0-50K,50K-100K
100,15633059,Fanucci,413,France,Male,9,2,0,0,0,31-40,0-50K,0-50K
101,15808582,Fu,665,France,Female,6,1,1,1,0,31-40,0-50K,150K-200K
102,15743192,Hung,623,France,Female,6,2,0,0,0,41-50,0-50K,150K-200K
103,15580146,Hung,738,France,Male,9,1,1,0,0,31-40,50K-100K,0-50K
104,15776605,Bradley,528,Spain,Male,7,2,1,0,0,31-40,0-50K,50K-100K
105,15804919,Dunbabin,670,Spain,Female,1,1,1,1,1,60+,0-50K,150K-200K
106,15613854,Mauldon,622,Spain,Female,4,2,1,1,1,41-50,100K-150K,0-50K
107,15599195,Stiger,582,Germany,Male,1,1,1,1,0,31-40,50K-100K,0-50K
108,15812878,Parsons,785,Germany,Female,2,1,0,1,0,31-40,50K-100K,0-50K
109,15602312,Walkom,605,Spain,Male,5,1,0,0,0,31-40,150K-200K,50K-100K
110,15744689,T'ang,479,Germany,Male,9,1,1,0,1,31-40,50K-100K,50K-100K
111,15803526,Eremenko,685,Germany,Male,3,1,0,1,0,18-30,50K-100K,50K-100K
112,15665790,Rowntree,538,Germany,Male,7,2,1,0,0,31-40,100K-150K,0-50K
113,15715951,Thorpe,562,France,Male,2,1,0,0,0,41-50,100K-150K,50K-100K
114,15591100,Chiemela,675,Spain,Male,9,1,0,1,0,31-40,100K-150K,0-50K
115,15609618,Fanucci,721,Germany,Male,9,2,0,1,1,18-30,150K-200K,100K-150K
116,15675522,Ko,628,Germany,Female,9,2,1,1,0,18-30,100K-150K,50K-100K
117,15705512,Welch,668,Germany,Female,6,1,1,0,0,31-40,150K-200K,100K-150K
118,15698028,Duncan,506,France,Female,1,2,1,0,0,41-50,0-50K,0-50K
119,15661670,Chidozie,524,Germany,Female,8,1,1,0,1,31-40,100K-150K,150K-200K
120,15600781,Wu,699,Germany,Male,4,2,1,0,0,31-40,150K-200K,100K-150K
121,15682472,Culbreth,828,France,Male,8,2,0,0,0,31-40,100K-150K,0-50K
122,15580203,Kennedy,674,Spain,Male,6,1,0,0,0,31-40,100K-150K,100K-150K
123,15690673,Cameron,656,France,Female,6,2,1,0,0,31-40,0-50K,100K-150K
124,15760085,Calabresi,684,Germany,Female,10,1,1,1,0,41-50,100K-150K,150K-200K
125,15779659,Zetticci,625,France,Female,3,1,0,0,0,18-30,0-50K,150K-200K
126,15627360,Fuller,432,France,Male,9,1,1,0,1,41-50,150K-200K,100K-150K
127,15671137,MacDonald,549,France,Female,1,1,0,1,1,51-60,0-50K,0-50K
128,15782688,Piccio,625,Germany,Male,0,1,1,0,1,51-60,100K-150K,0-50K
129,15575492,Kennedy,828,France,Female,7,2,1,0,0,41-50,0-50K,150K-200K
130,15591607,Fernie,770,France,Male,9,1,1,0,0,18-30,100K-150K,150K-200K
131,15740404,He,758,France,Female,3,2,1,1,0,31-40,0-50K,100K-150K
132,15718369,Kaodilinakachukwu,795,Germany,Female,9,1,1,1,0,31-40,100K-150K,100K-150K
133,15677871,Cocci,687,France,Male,9,1,1,1,0,31-40,100K-150K,0-50K
134,15642004,Alekseeva,686,France,Male,1,2,0,1,0,18-30,0-50K,0-50K
135,15712543,Chinweike,789,Germany,Male,7,2,1,1,0,31-40,100K-150K,100K-150K
136,15584518,Arthur,589,Germany,Female,5,2,1,1,0,41-50,100K-150K,0-50K
137,15802381,Li,461,Germany,Female,5,1,0,1,0,31-40,50K-100K,150K-200K
138,15610156,Ma,637,France,Male,2,1,0,1,0,31-40,100K-150K,50K-100K
139,15594408,Chia,584,Spain,Female,2,1,1,0,1,41-50,200K+,50K-100K
140,15640905,Vasin,579,Spain,Female,1,2,0,1,1,31-40,100K-150K,0-50K
141,15698932,Groves,756,Germany,Male,10,1,1,0,0,41-50,100K-150K,150K-200K
142,15724944,Tien,663,France,Male,7,2,1,1,0,31-40,0-50K,150K-200K
143,15628145,Forwood,682,France,Female,5,1,1,1,0,41-50,100K-150K,150K-200K
144,15713483,Greeves,793,Spain,Male,2,1,1,0,1,51-60,0-50K,150K-200K
145,15612350,Taylor,691,France,Female,5,1,1,0,1,31-40,0-50K,100K-150K
146,15800703,Madukwe,485,Spain,Female,5,1,1,1,0,18-30,100K-150K,50K-100K
147,15705707,Bennelong,635,Spain,Female,8,2,1,0,0,18-30,100K-150K,100K-150K
148,15754105,Olisanugo,650,France,Male,5,1,0,0,0,31-40,100K-150K,0-50K
149,15703264,Chukwufumnanya,735,France,Male,9,1,1,0,0,41-50,100K-150K,50K-100K
150,15794413,Harris,416,France,Male,0,2,0,1,0,31-40,0-50K,0-50K
151,15650237,Morgan,754,Spain,Female,7,2,1,0,0,31-40,0-50K,50K-100K
152,15759618,Alexeeva,535,France,Female,9,1,1,0,1,41-50,0-50K,100K-150K
153,15811589,Metcalfe,716,Spain,Male,8,2,1,0,0,41-50,0-50K,150K-200K
154,15689044,Humphries,539,France,Male,2,1,1,0,0,31-40,100K-150K,50K-100K
155,15709368,Milne,614,France,Female,6,2,1,1,0,41-50,0-50K,100K-150K
156,15679145,Chou,706,Spain,Male,7,1,1,0,1,51-60,0-50K,0-50K
157,15655007,Li,758,France,Female,7,2,0,0,0,31-40,0-50K,50K-100K
158,15623595,Clayton,586,Spain,Female,2,2,1,1,0,18-30,0-50K,50K-100K
159,15589975,Maclean,646,France,Female,6,1,0,1,0,60+,50K-100K,100K-150K
160,15804017,Chigolum,631,Germany,Female,4,1,0,0,0,31-40,100K-150K,100K-150K
161,15692132,Wilkinson,717,Spain,Female,6,1,0,1,0,18-30,100K-150K,50K-100K
162,15641122,Wei,684,France,Male,2,2,1,0,0,18-30,0-50K,50K-100K
163,15630910,Treacy,800,France,Female,7,1,0,0,0,41-50,100K-150K,0-50K
164,15680772,Hu,721,Spain,Female,2,2,1,1,0,31-40,0-50K,100K-150K
165,15658929,Taverner,683,Spain,Male,0,1,1,0,1,18-30,100K-150K,50K-100K
166,15585388,Sherman,660,Germany,Male,9,2,1,1,0,31-40,100K-150K,100K-150K
167,15724623,Taubman,704,Germany,Female,7,1,1,0,1,18-30,100K-150K,150K-200K
168,15588537,Robinson,615,Spain,Female,9,1,1,0,0,41-50,100K-150K,150K-200K
169,15574692,Pinto,667,Spain,Female,2,2,1,0,1,31-40,0-50K,0-50K
170,15611325,Wood,682,Germany,Male,9,2,0,0,0,18-30,50K-100K,50K-100K
171,15587562,Hawkins,484,France,Female,4,1,1,0,0,18-30,100K-150K,150K-200K
172,15613172,Sun,628,Germany,Male,5,2,1,0,0,18-30,50K-100K,150K-200K
173,15651022,Yost,480,Germany,Male,10,1,1,0,1,41-50,100K-150K,0-50K
174,15586310,Ting,578,France,Male,4,1,1,0,0,18-30,150K-200K,100K-150K
175,15625524,Rowe,512,France,Male,5,2,1,1,0,31-40,0-50K,100K-150K
176,15755209,Fu,484,Spain,Female,7,1,1,1,0,31-40,100K-150K,0-50K
177,15645248,Ho,510,France,Female,0,2,1,1,0,18-30,0-50K,100K-150K
178,15790355,Okechukwu,606,Germany,Male,5,2,0,0,0,31-40,150K-200K,150K-200K
179,15762615,Campbell,597,Spain,Female,8,1,0,1,0,31-40,100K-150K,50K-100K
180,15625426,Ashbolt,754,Germany,Female,3,1,1,0,1,51-60,150K-200K,0-50K
181,15716334,Rozier,850,Spain,Female,2,1,1,1,0,41-50,100K-150K,0-50K
182,15789669,Hsia,510,France,Male,2,2,1,1,0,60+,0-50K,0-50K
183,15621075,Ogbonnaya,778,Germany,Female,1,2,1,0,0,41-50,150K-200K,150K-200K
184,15810845,T'ang,636,France,Male,2,2,1,1,0,41-50,0-50K,50K-100K
185,15719377,Cocci,804,France,Female,4,1,1,1,1,41-50,0-50K,0-50K
186,15654506,Chang,514,France,Male,8,2,1,0,0,31-40,0-50K,50K-100K
187,15771977,T'ao,730,France,Female,1,1,1,0,0,31-40,50K-100K,150K-200K
188,15708710,Ford,525,Spain,Female,0,1,0,1,0,31-40,0-50K,100K-150K
189,15726676,Marshall,616,Spain,Male,5,2,0,1,0,18-30,0-50K,150K-200K
190,15587421,Tsai,687,Germany,Female,7,2,1,0,0,31-40,100K-150K,100K-150K
191,15726931,Onwumelu,715,France,Female,8,2,0,0,1,41-50,50K-100K,50K-100K
192,15771086,Graham,512,France,Female,3,2,1,0,0,31-40,50K-100K,0-50K
193,15756850,Golovanov,479,France,Male,1,2,0,0,0,31-40,0-50K,100K-150K
194,15702741,Potts,601,France,Male,8,1,1,0,0,31-40,50K-100K,50K-100K
195,15679200,Crawford,580,Spain,Male,9,2,1,0,0,18-30,50K-100K,100K-150K
196,15594815,Aleshire,807,France,Male,3,1,1,1,0,31-40,150K-200K,0-50K
197,15635905,Moran,616,Spain,Female,6,2,1,1,0,31-40,0-50K,0-50K
198,15777892,Samsonova,721,Germany,Male,3,1,1,1,0,31-40,100K-150K,150K-200K
199,15656176,Jenkins,501,France,Male,10,2,1,1,0,51-60,0-50K,0-50K
200,15811127,Volkov,521,France,Male,6,1,1,0,0,31-40,50K-100K,0-50K
201,15604482,Chiemezie,850,Spain,Male,2,1,1,1,0,18-30,100K-150K,0-50K
202,15622911,Jude,759,France,Male,4,1,0,1,0,41-50,100K-150K,100K-150K
203,15600974,He,516,Spain,Male,5,1,0,1,1,41-50,0-50K,100K-150K
204,15727868,Onuora,711,France,Female,2,2,1,1,1,31-40,100K-150K,0-50K
205,15627801,Ginikanwa,512,Spain,Male,3,1,1,0,0,31-40,150K-200K,50K-100K
206,15773039,Ku,550,France,Male,3,1,1,1,0,31-40,0-50K,150K-200K
207,15755262,McDonald,608,Spain,Female,3,1,0,0,1,41-50,50K-100K,150K-200K
208,15679531,Collins,618,France,Male,5,1,1,1,0,31-40,100K-150K,150K-200K
209,15684181,Hackett,643,France,Male,5,1,1,0,1,41-50,0-50K,100K-150K
210,15612087,Dike,671,France,Male,2,1,0,1,0,41-50,100K-150K,150K-200K
211,15752047,Trevisano,689,Germany,Male,2,2,1,0,0,31-40,150K-200K,150K-200K
212,15624592,Tan,603,France,Male,8,2,1,1,0,31-40,0-50K,150K-200K
213,15573152,Glassman,620,France,Female,9,2,0,0,0,41-50,0-50K,50K-100K
214,15594917,Miller,676,France,Female,1,1,1,1,0,31-40,50K-100K,0-50K
215,15785542,Kornilova,572,Germany,Male,4,2,0,0,0,18-30,100K-150K,50K-100K
216,15723488,Watson,668,Germany,Male,7,1,0,1,1,41-50,100K-150K,150K-200K
217,15680920,Marchesi,695,France,Male,7,1,1,0,0,41-50,0-50K,100K-150K
218,15786308,Millar,730,Spain,Female,9,2,0,0,0,31-40,0-50K,150K-200K
219,15659366,Shih,807,France,Male,1,2,1,0,1,41-50,100K-150K,0-50K
220,15774854,Fuller,592,France,Male,8,1,1,1,1,51-60,0-50K,0-50K
221,15725311,Hay,726,France,Female,9,2,1,1,0,31-40,100K-150K,50K-100K
222,15787155,Yang,514,Spain,Male,7,1,0,1,0,18-30,0-50K,100K-150K
223,15727829,McIntyre,567,France,Male,2,2,1,1,0,41-50,0-50K,150K-200K
224,15733247,Stevenson,850,France,Male,10,1,1,0,1,31-40,0-50K,0-50K
225,15568748,Poole,671,Germany,Male,6,1,1,1,1,41-50,50K-100K,100K-150K
226,15699029,Bagley,670,France,Male,4,2,1,0,0,31-40,150K-200K,150K-200K
227,15774393,Ch'ien,694,France,Female,9,2,1,1,0,18-30,0-50K,0-50K
228,15676895,Cattaneo,547,Germany,Female,6,3,1,1,1,31-40,50K-100K,50K-100K
229,15637753,O'Sullivan,751,Germany,Male,2,1,1,0,1,41-50,50K-100K,50K-100K
230,15605461,Lucas,594,Germany,Female,3,1,1,0,0,18-30,100K-150K,50K-100K
231,15808473,Ringrose,673,France,Male,1,2,0,1,0,60+,0-50K,100K-150K
232,15627000,Freeman,610,France,Male,0,2,1,0,0,31-40,0-50K,50K-100K
233,15787174,Sergeyev,512,France,Female,1,2,0,1,0,31-40,0-50K,150K-200K
234,15723886,Fiore,767,Germany,Male,3,2,0,1,0,18-30,100K-150K,150K-200K
235,15704769,Smith,585,France,Female,5,2,0,1,0,60+,100K-150K,50K-100K
236,15772896,Dumetochukwu,763,Germany,Male,6,1,1,0,1,41-50,100K-150K,0-50K
237,15711540,Pacheco,712,France,Female,2,1,1,1,0,18-30,0-50K,100K-150K
238,15764866,Synnot,539,Germany,Female,3,3,1,0,1,41-50,100K-150K,50K-100K
239,15794056,Johnston,668,France,Female,2,3,1,0,1,41-50,0-50K,50K-100K
240,15795149,Stevens,703,France,Male,2,2,0,1,0,18-30,50K-100K,150K-200K
241,15812009,Grant,662,Spain,Male,4,2,1,0,0,31-40,0-50K,100K-150K
242,15651001,Tsao,725,Germany,Female,5,1,1,0,0,31-40,100K-150K,100K-150K
243,15813844,Barnes,703,France,Male,8,2,0,1,0,31-40,100K-150K,50K-100K
244,15596175,McIntosh,659,Germany,Male,6,1,1,1,1,60+,100K-150K,0-50K
245,15576269,Madison,523,Spain,Male,7,2,1,0,0,31-40,0-50K,50K-100K
246,15797219,Ifesinachi,635,France,Female,10,1,1,0,1,31-40,100K-150K,100K-150K
247,15685500,Glazkov,772,Germany,Male,7,2,1,0,0,18-30,150K-200K,50K-100K
248,15599792,Dimauro,545,France,Female,1,2,1,1,0,18-30,0-50K,150K-200K
249,15657566,Wieck,634,Germany,Male,8,1,1,1,0,18-30,100K-150K,150K-200K
250,15772423,Liao,739,Germany,Male,8,1,1,0,1,51-60,100K-150K,100K-150K
251,15628112,Hughes,771,Germany,Female,5,1,0,0,0,31-40,50K-100K,50K-100K
252,15753754,Morrison,587,Spain,Female,1,2,1,1,0,31-40,0-50K,50K-100K
253,15793726,Matveyeva,681,France,Female,0,2,0,1,0,60+,0-50K,150K-200K
254,15694717,Ku,544,Germany,Male,2,1,1,1,0,31-40,50K-100K,50K-100K
255,15665834,Cheatham,696,Spain,Male,8,1,0,0,0,18-30,0-50K,150K-200K
256,15765297,Yao,766,Spain,Male,0,2,0,1,0,41-50,0-50K,0-50K
257,15636684,Kirkland,727,France,Male,10,2,1,1,0,31-40,0-50K,150K-200K
258,15592979,Rose,671,Germany,Female,6,2,0,0,0,31-40,0-50K,150K-200K
259,15750803,Jess,693,France,Female,6,1,1,1,0,18-30,100K-150K,50K-100K
260,15607178,Welch,850,Germany,Male,3,1,1,1,0,31-40,50K-100K,100K-150K
261,15713853,Ifeajuna,732,Germany,Male,9,2,1,1,0,41-50,100K-150K,50K-100K
262,15673481,Morton,726,Spain,Female,6,1,1,0,0,41-50,50K-100K,50K-100K
263,15686776,Rossi,557,France,Female,6,2,1,0,0,31-40,150K-200K,0-50K
264,15673693,Reppert,682,France,Female,0,1,0,1,0,18-30,100K-150K,100K-150K
265,15700696,Kang,738,Spain,Male,9,1,1,1,0,31-40,50K-100K,0-50K
266,15813163,Ch'iu,531,Spain,Female,9,1,1,0,0,31-40,50K-100K,100K-150K
267,15653857,Wallis,498,France,Male,2,2,1,1,0,31-40,0-50K,100K-150K
268,15777076,Clark,651,France,Male,7,2,1,0,0,31-40,0-50K,0-50K
269,15717398,Fielding,549,Spain,Female,7,1,0,0,1,31-40,0-50K,50K-100K
270,15799217,Zetticci,791,Germany,Female,7,1,1,0,0,31-40,50K-100K,150K-200K
271,15787071,Dulhunty,650,Spain,Male,9,2,0,1,0,41-50,0-50K,150K-200K
272,15619955,Bevington,733,Germany,Male,3,3,1,0,1,31-40,100K-150K,0-50K
273,15796505,Boyle,811,Germany,Female,1,2,1,1,0,31-40,100K-150K,150K-200K
274,15725166,Newton,707,France,Male,8,2,1,0,0,18-30,0-50K,0-50K
275,15800116,Bowman,712,Germany,Male,4,1,0,1,0,18-30,100K-150K,50K-100K
276,15758685,Dubinina,706,Spain,Female,7,2,1,1,0,31-40,0-50K,100K-150K
277,15694456,Toscani,756,France,Male,3,1,1,1,1,60+,0-50K,0-50K
278,15767339,Chiazagomekpere,777,France,Female,10,2,1,0,0,51-60,0-50K,150K-200K
279,15683562,Allen,646,France,Male,6,1,0,1,0,31-40,50K-100K,150K-200K
280,15782210,K'ung,714,France,Male,1,1,1,0,1,41-50,0-50K,150K-200K
281,15668893,Wilsmore,782,France,Male,8,2,1,1,0,31-40,0-50K,0-50K
282,15669169,Hargreaves,775,Spain,Male,10,2,1,1,0,18-30,0-50K,50K-100K
283,15643024,Huang,479,Germany,Male,4,1,1,1,1,31-40,100K-150K,0-50K
284,15699389,Ch'ien,807,France,Male,7,1,1,1,0,41-50,100K-150K,0-50K
285,15708608,Wallwork,799,France,Female,8,2,0,1,0,18-30,150K-200K,150K-200K
286,15626144,Chu,675,France,Male,7,2,1,0,0,31-40,100K-150K,0-50K
287,15573112,Kang,602,Spain,Male,5,1,1,0,0,18-30,100K-150K,150K-200K
288,15790678,Davidson,475,France,Female,8,1,1,0,0,31-40,100K-150K,100K-150K
289,15727556,O'Donnell,744,Spain,Female,5,1,1,1,0,18-30,150K-200K,150K-200K
290,15697307,Nnachetam,588,Spain,Male,10,2,1,0,0,31-40,0-50K,50K-100K
291,15652266,Chidiebele,703,Germany,Male,9,1,0,1,0,41-50,50K-100K,100K-150K
292,15607098,Ahmed,747,Spain,Female,5,2,1,0,0,41-50,50K-100K,150K-200K
293,15655774,Booth,583,France,Male,7,2,1,0,0,18-30,0-50K,50K-100K
294,15590241,Chuang,750,Spain,Female,9,1,0,0,1,31-40,100K-150K,150K-200K
295,15785819,Shao,681,France,Male,3,2,1,1,0,31-40,0-50K,100K-150K
296,15723654,Tsao,773,France,Male,2,1,1,0,0,18-30,100K-150K,50K-100K
297,15774510,Tien,714,France,Female,4,1,1,1,0,31-40,100K-150K,100K-150K
298,15684173,Chang,687,Spain,Female,7,3,1,0,1,41-50,0-50K,150K-200K
299,15650068,Johnson,511,France,Male,0,1,1,1,0,51-60,100K-150K,150K-200K
300,15811490,French,627,France,Male,5,2,1,1,0,31-40,0-50K,100K-150K
301,15803976,Efremov,694,France,Female,10,2,1,0,0,31-40,0-50K,150K-200K
302,15682541,Hartley,616,Spain,Female,6,1,0,0,0,31-40,100K-150K,0-50K
303,15695699,Calabrese,687,France,Male,8,2,1,0,0,31-40,0-50K,0-50K
304,15624188,Chiu,712,France,Female,6,2,1,1,0,31-40,0-50K,150K-200K
305,15812191,Brennan,553,France,Male,4,1,0,0,0,31-40,100K-150K,50K-100K
306,15636673,Onwuatuegwu,667,France,Male,1,1,1,1,0,31-40,100K-150K,0-50K
307,15594898,Hewitt,731,France,Male,2,1,1,1,1,41-50,0-50K,150K-200K
308,15660211,Shih,629,Germany,Male,7,2,1,0,0,31-40,150K-200K,0-50K
309,15773972,Balashov,614,France,Male,4,1,1,0,1,41-50,100K-150K,100K-150K
310,15746726,Doyle,438,Germany,Male,8,1,1,0,0,31-40,50K-100K,0-50K
